,0
Désignation, ASUS ROG GL12CP-FR065T
Marque, ASUSASUS
Modèle, GL12CP-FR065T
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i5-8400 (Hexa-Core 2.8GHz / 4GHz Turbo - Cache 9Mo)
Processeur, Intel Core i5
Fréquence CPU, 2.8GHz
Chipset, Intel H310Express
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - SATA-6Gb/s
Lecteur Optique, Graveur DVD Super Multi
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1060
Taille mémoire vidéo, 6Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 5.0,  Wi-Fi AC"
Connecteurs panneau avant," 2xUSB-2.0,  2xUSB-3.0,  SD (Secure Digital)"
Connecteurs panneau arrière," 5xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF,  1xGigabit Ethernet - RJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  2xDisplayPort Femelle,  1xDVI Femelle,  2xHDMI Femelle"
Clavier et souris fournis, Oui
Format de PC, Tour
Format du boitier, Moyen Tour
Largeur, 179mm
Hauteur, 456mm
Profondeur, 400mm
Poids, 11kg
Monté, Oui
Garantie légale, Voir les modalités
