,0
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5-9300H (Quad-Core 2.4GHz / 4.1GHz Turbo - 8Threads - Cache 8Mo)
Fréquence CPU, 2.4GHz
Nombre de core, 4
Chipset, Mobile Intel HM370Express
Taille de la mémoire, 8Go
Nombre de barrettes, 2
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 32Go
Chipset graphique, NVIDIA GeForce GTX-1650
Taille mémoire vidéo, 4Go
Type mémoire vidéo, GDDR5
Ecran tactile, Non
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-256Go + HDD-1To
Disque dur, SSD-256Go
Disque secondaire, HDD-1To
Type de Disque, HDD (Hard Disk Drive)
Vitesse de rotation, 5400RPM
Interface du disque dur, M.2 - PCI-E NVMe
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45Femelle,  2xUSB-2.0,  1xUSB-3.0,  1xUSB-3.1Type C"
Couleur, Noir
Profondeur, 254mm
Largeur, 365.5mm
Epaisseur Avant, 21.6mm
Epaisseur Arrière, 23.2mm
Poids, 2.34kg
Gamme, Dell G3
Ultrabook, Non
Hybride / Convertible, Non
Capacité de la batterie, 51Wh
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2années constructeur
Garanties légales, Voir les modalités
