,0
Désignation, LDLC PC10DegaS
Marque, LDLCLDLC
Modèle, PC10DEGAS
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), AMD Zen 2
Type de processeur, AMD Ryzen 5 3600 (6-Core 3.4GHz / 3.9GHz Turbo - Cache 16Mo - TDP-65W)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.6GHz
Chipset, AMD X570
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 32Go
Capacité maximale de RAM, 128Go
Configuration disque(s), SSD-480Go
Disque dur, SSD-480Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2060SUPER
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111H
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," Casque (Jack 3.5mm Femelle),  Micro (Jack3.5mm Femelle),  2xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 5xJack 3,5mm Mâle Stéréo,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  3xUSB-3.1,  1xUSB-3.1Type C,  3xDisplayPort Femelle,  HDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 550W
Monté, Oui
Garantie légale, Voir les modalités
