,0
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Whiskey Lake
Type de processeur, Intel Core i5-8265U (Quad-Core 1.6GHz / 3.9GHz Turbo - Cache 6Mo)
Fréquence CPU, 1.6GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Nombre de barrettes, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Chipset graphique, Intel UHD Graphics 620
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 13.3pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-256Go
Disque dur, SSD-256Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E NVMe
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Wi-Fi B (IEEE-802.11b),  Wi-Fi A (IEEE-802.11a),  Wi-Fi G (IEEE-802.11g),  Wi-Fi N-150Mbps (IEEE-802.11n)"
Technologie Bluetooth, Bluetooth 5.0
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1xRJ45,  2xUSB-3.0,  1xUSB-3.0Type C"
Couleur, Argent
Profondeur, 231mm
Largeur, 308.5mm
Epaisseur, 19.8mm
Poids, 1.49kg
Gamme, HP ProBook
Ultrabook, Oui
Hybride / Convertible, Non
Autonomie, 14Heure(s)
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 1année constructeur
Garanties légales, Voir les modalités
