,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8700 (Hexa-Core 3.2GHz / 4.6GHz Turbo - Cache 12Mo - TDP-65W)
Processeur, Intel Core i7
Fréquence CPU, 3.2GHz
Chipset, Intel H370Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 2x
Vitesse de rotation, 7200RPM
Lecteur Optique, Graveur DVD Super Multi
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1080
Taille mémoire vidéo, 8Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Bluetooth 5.0
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-3.0Type C"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF,  1xGigabit Ethernet - RJ45Femelle,  4xUSB-3.0,  2xUSB-3.1Type A Femelle,  2xDisplayPort Femelle,  1xDVI Femelle"
Clavier et souris fournis, Oui
Format de PC, Tour
Largeur, 129mm
Hauteur, 366mm
Profondeur, 372mm
Poids, 8.5kg
Puissance, 410W
Monté, Oui
Technologie Intel vPro, Non
Garanties légales, Voir les modalités
