,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5 9600KF (6coeurs - 3.70Ghz - Turbo 4.60Ghz - Cache 9Mo - TDP-95W)
Processeur, Intel Core i5
Fréquence CPU, 3.7GHz
Modèle refroidissement CPU, Be Quiet Dark Rock 4
Chipset, Intel Z390Express
Modèle de la carte mère, MSI MAG Z390Tomahawk
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Marque de la RAM, Gskill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-500Go + HDD-1To
Disque dur, 1To
Modèle du SSD, Crucial P1NVMe
Modèle du disque dur, Seagate Barracuda
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Chipset graphique, NVIDIA GeForce RTX-2070SUPER
Taille mémoire vidéo, 8Go
Référence de la carte graphique, Gigabyte GeForce RTX-2070SUPER GAMING OC-3X
Nombre de ports/Contrôleur Ethernet, Intégré
Connecteurs panneau avant," 2xUSB-2.0,  2xJack 3,5mm Femelle Stéréo"
Connecteurs panneau arrière," 1xAudio numérique S/PDIF Optique,  1xHDMI Femelle,  2xUSB-2.0,  5xJack 3,5mm Femelle Stéréo,  3xDisplayPort Femelle,  3xUSB-3.1"
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, Zalman Z7Neo
Puissance, 550W
Modèle de l'alimentation, Seasonic Focus GxGold
Monté, Oui
Gamme, Performance
Garanties légales, Voir les modalités
