,0
Marque, GénériqueGénérique
Modèle, PC START BUREAU I3
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i3-9100F (Quad-Core 3.6GHz / 4.2GHz Turbo)
Processeur, Intel Core i3
Fréquence CPU, 3.6GHz
Chipset, Intel H310Express
Taille de la mémoire, 4Go
Type de mémoire, DDR4
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-480Go
Disque dur, SSD-480Go
Disque secondaire, Sans disque secondaire
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, Serial ATA-6Gb/s (SATA Revision 3)
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, GPU dédié
Taille mémoire vidéo, 1Go
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Realtek RTL8111C
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi N-300Mbps (IEEE-802.11n)
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  2xUSB-2.0,  1xUSB-3.0"
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  4xUSB-2.0,  2xUSB-3.0,  1xHDMI Femelle,  1xVGA (D-sub 15Femelle)"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Mini PC
Puissance, 350W
Monté, Non
Usage, Familial
Technologie Intel vPro, Non
Garantie légale, Voir les modalités
