,0
Désignation, Acer Swift 1SF113-31-C74M Or
Marque, AcerAcer
Modèle, NX.GPNEF.003
Système d'exploitation, Windows 10S
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Celeron
Plateforme (Proc.), Intel Apollo Lake
Type de processeur, Intel Celeron N3350 (Dual-Core 1.1GHz / 2.4GHz Rafale - Cache 2Mo)
Fréquence CPU, 1.1GHz
Nombre de core, 2
Taille de la mémoire, 4Go
Nombre de barrettes, 1
Type de mémoire, DDR3L (1.35V)
Taille de mémoire Max, 4Go
Chipset graphique, Intel HD Graphics 500
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 13.3pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), eMMC-64Go
Disque dur, eMMC-64Go
Disque secondaire, Sans disque secondaire
Type de Disque, eMMC (Puce à mémoire Flash)
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, Aucun
Lecteur Optique, Aucun
Lecteur de cartes, SD (Secure Digital)
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.0
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Pavé numérique, Non
Lecteur biométrique, Oui
Office fourni, Non
Connecteur(s) disponible(s)," 1xHDMI Femelle,  1xUSB-2.0,  1xJack 3,5mm Femelle Stéréo,  2xUSB-3.0,  1xUSB-3.0Type C"
Couleur, Or
Profondeur, 225mm
Largeur, 319.5mm
Epaisseur, 14.95mm
Poids, 1.3kg
Gamme, Acer Swift
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 10Heure(s)
Capacité de la batterie, 3770mAh
Nombre de cellules, 3
Garantie légale, Voir les modalités
