,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Core i7-8700K (3.7GHz)
Processeur, Intel Core i7
Fréquence CPU, 3.7GHz
Modèle refroidissement CPU, Watercooling sur mesure
Chipset, Intel Z370Express
Modèle de la carte mère, MSI
Taille de la mémoire, 32Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3200MHz
Marque de la RAM, Corsair Vengeance RGB
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-1To + HDD-3To
Disque dur, SSD-1To
Disque secondaire, HDD-3To
Modèle du SSD, 1xCorsair MP500 480Go + 1xCorsair MP500 960Go
Modèle du disque dur, 2xSeagate Ironwolf 6To + 1xSeagate Ironwolf 3To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, 3xNVIDIA GeForce GTX-1080Ti
Taille mémoire vidéo, 11Go
Référence de la carte graphique, MSI GEFORCE GTX-1080TI AERO-11G OC
Type de multi-GPU, SLI
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  4xUSB-3.0"
Connecteurs panneau arrière," 5xJack 3,5mm Femelle Stéréo,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  4xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C Femelle,  3xDisplayPort Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Grand Tour
Modèle du boitier, Corsair Obsidian 1000D
Largeur, 307mm
Hauteur, 697mm
Profondeur, 693mm
Poids, 40kg
Puissance, 1200W
Modèle de l'alimentation, Corsair HX1200i + Corsair SF600
Monté, Oui
Gamme, Legend
Garanties légales, Voir les modalités
