,0
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), AMD Zen 2
Type de processeur, AMD Ryzen 5 3600 (6coeurs / 12threads - 3.60Ghz - Turbo 4.20Ghz - Cache 32Mo - TDP-65W)
Processeur, AMD Ryzen 5
Fréquence CPU, 3.6GHz
Modèle refroidissement CPU, Be Quiet Pure Rock
Chipset, AMD B450
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3200MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-500Go
Modèle du SSD, Kingston A2000NVMe
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, AMD Radeon RX-5700
Taille mémoire vidéo, 8Go
Référence de la carte graphique, ASUS Radeon RX-5700TUF
VR Ready (réalité virtuelle), Non
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, 1xIntégré
Connecteurs panneau avant, 2xCasque (Jack 3.5mm Femelle)
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  2xUSB-3.0,  1xUSB-3.0Type C,  2xUSB-3.1,  3xDisplayPort Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, Corsair 110R
Puissance, 500W
Modèle de l'alimentation, Seasonic S12III-500Bronze
Monté, Oui
Gamme, Performance
Garanties légales, Voir les modalités
