,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5-9400 (Hexa-Core 2.9GHz / 4.1GHz Turbo - 6Threads - Cache 9Mo)
Processeur, Intel Core i5
Fréquence CPU, 2.9GHz
Chipset, Intel H310Express
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2060
Taille mémoire vidéo, 6Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Non
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intel I219-V
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Bluetooth 4.2
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xUSB-2.0"
Connecteurs panneau arrière," 5xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF Optique,  1xRJ45Femelle,  2xUSB-2.0,  4xUSB-3.0,  3xDisplayPort Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Largeur, 128mm
Hauteur, 244mm
Profondeur, 348mm
Poids, 7.32kg
Puissance, 450W
Monté, Oui
Technologie Intel vPro, Non
Garantie commerciale, 2années constructeur
Garanties légales, Voir les modalités
