,0
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i5 9400F (6coeurs - 2.90Ghz - Turbo 4.10Ghz - Cache 9Mo - TDP-65W)
Processeur, Intel Core i5
Fréquence CPU, 2.9GHz
Modèle refroidissement CPU, Cooler Master Hyper 212Black RGB
Chipset, Intel B360Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-512Go
Modèle du SSD, Kingston KC600
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, Serial ATA-6Gb/s (SATA Revision 3)
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2060
Taille mémoire vidéo, 6Go
Référence de la carte graphique, ZOTAC GeForce RTX-2060
Type de multi-GPU, Aucun
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, 1xIntégré
Connecteurs panneau avant, 2xCasque (Jack 3.5mm Femelle)
Connecteurs panneau arrière," 3xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  1xUSB-3.0Type C,  2xUSB-3.1,  3xDisplayPort Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, Corsair Carbide 270R
Puissance, 450W
Modèle de l'alimentation, Corsair CXM
Monté, Oui
Gamme, Challenger
Garanties légales, Voir les modalités
