,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i9 9900KF (8coeurs / 16threads - 3.60Ghz - Turbo Boost 5Ghz - Cache 16Mo - TDP-95W)
Processeur, Intel Core i9
Fréquence CPU, 3.6GHz
Modèle refroidissement CPU, Corsair Hydro H150i Pro RGB
Chipset, Intel Z390Express
Taille de la mémoire, 32Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3200MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-500Go + HDD-2To
Modèle du SSD, Samsung 970EVO Plus NVMe
Modèle du disque dur, Seagate Barracuda
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Chipset graphique, NVIDIA GeForce RTX-2080Ti
Taille mémoire vidéo, 11Go
Référence de la carte graphique, MSI GeForce RTX-2080Ti Ventus OC
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 1xIntégré
Norme(s) réseau sans-fil, Wi-Fi AC
Connecteurs panneau avant," 2xJack 3,5mm Femelle Stéréo,  2xUSB-3.0"
Connecteurs panneau arrière," 5xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  2xUSB-3.0,  3xUSB-3.1,  1xUSB-3.1Type C,  3xDisplayPort Femelle"
Format de PC, Tour
Format du boitier, Grand Tour
Modèle du boitier, Be Quiet Dark Base 700
Puissance, 850W
Modèle de l'alimentation, Antec HCG850Gold
Monté, Oui
Gamme, Elite
Garanties légales, Voir les modalités
