,0
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i7-9750H (Hexa-Core 2.6GHz / 4.5GHz Turbo - 12Threads - Cache 12Mo)
Fréquence CPU, 2.6GHz
Nombre de core, 6
Chipset, Mobile Intel HM370Express
Taille de la mémoire, 32Go
Nombre de barrettes, 2
Nombre de slots mémoire disponibles, 0
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2666MHz
Taille de mémoire Max, 64Go
Chipset graphique, NVIDIA GeForce RTX-2070
Taille mémoire vidéo, 8Mo
Type mémoire vidéo, GDDR6
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 3840x2160pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Oui
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-1To + HDD-1To
Disque dur, SSD-1To
Disque secondaire, HDD-1To
Type de Disque, SSD (Solid State Drive)
Vitesse de rotation, 7200RPM
Interface du disque dur, M.2 - PCI-E-3.0 4x
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Sans-fil, Oui
Webcam, Oui
Type de H.P, 4H.P + caisson de basses
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Oui
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xRJ45,  1xMicro (Jack3.5mm Femelle),  1xS/PDIF (Jack 3.5mm),  1xLine IN (Jack 3.5mm Femelle),  1xLine OUT (Jack 3.5mm Femelle),  1xUSB-2.0,  1xMini DisplayPort,  1xHDMI-2.0Femelle,  3xUSB-3.1"
Couleur, Noir
Profondeur, 266mm
Largeur, 390mm
Epaisseur, 39.8mm
Poids, 2.94kg
Ultrabook, Non
Hybride / Convertible, Non
Nombre de cellules, 8
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2années constructeur
Garanties légales, Voir les modalités
