,0
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i9 9900K (8coeurs - 3.70Ghz - Turbo Boost 5Ghz - Cache 16Mo - TDP-95W)
Processeur, Intel Core i9
Fréquence CPU, 3.7GHz
Modèle refroidissement CPU, Corsair H115i Pro RGB
Chipset, Intel Z390Express
Modèle de la carte mère, MSI Z390-A Pro
Taille de la mémoire, 32Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 32Go
Capacité maximale de RAM, 128Go
Configuration disque(s), SSD-1To + HDD-2To
Disque dur, 2To
Modèle du SSD, Western Digital SSD WD Blue SN550
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2080SUPER
Taille mémoire vidéo, 8Go
Référence de la carte graphique, Gigabyte GeForce RTX-2080SUPER WINDFORCE OC
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Non
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," 1xCasque (Jack 3.5mm Femelle),  1xMicro (Jack3.5mm Femelle),  1xUSB-2.0"
Connecteurs panneau arrière," 6xJack 3,5mm Femelle Stéréo,  2xUSB-2.0,  2xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C Femelle,  3xDisplayPort Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, Be Quiet Silent Base 601 - black/silver
Puissance, 700W
Modèle de l'alimentation, Be Quiet Pure Power 11
Monté, Oui
Gamme, Canard PC
Garanties légales, Voir les modalités
