,0
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), Intel Coffee Lake
Type de processeur, Intel Pentium G5400 (Dual-Core 3.7GHz - Cache 4Mo - TDP-54W)
Processeur, Intel Pentium
Fréquence CPU, 3.7GHz
Modèle refroidissement CPU, Ventirad d'origine
Chipset, Intel H310Express
Modèle de la carte mère, GIGABYTE H310M-S2H V2
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Marque de la RAM, G.Skill
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-500Go
Disque dur, SSD-500Go
Modèle du SSD, Kingston A2000
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E-3.0 4x
Lecteur de disquettes, Non
Chipset graphique, Intel HD Graphics 610
VR Ready (réalité virtuelle), Non
Sans-fil, Non
Nombre de ports/Contrôleur Ethernet, 1xIntel I219-V
Norme(s) réseau, 10/100/1000Mbps
Connecteurs panneau avant," Micro (Jack3.5mm Femelle),  Casque (Jack 3.5mm Femelle),  1xUSB-2.0Type A Femelle"
Connecteurs panneau arrière," 1xHDMI Femelle,  1xDVI Femelle,  4xUSB-2.0,  1xGigabit Ethernet - RJ45Femelle,  1xVGA (D-sub 15Femelle),  3xJack 3,5mm Femelle Stéréo,  2xPS/2"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Modèle du boitier, ANTEC VSK-3000ELITE-U3
Largeur, 180mm
Hauteur, 373mm
Profondeur, 410mm
Poids, 8kg
Puissance, 350W
Modèle de l'alimentation, Corsair CX450M
Monté, Oui
Usage, Familial
Garanties légales, Voir les modalités
