,0
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i5
Plateforme (Proc.), Intel Kaby Lake R
Type de processeur, Intel Core i5-8250U (Quad-Core 1.6GHz / 3.4GHz Turbo - Cache 6Mo)
Fréquence CPU, 1.6GHz
Nombre de core, 4
Taille de la mémoire, 8Go
Type de mémoire, DDR4
Taille de mémoire Max, 16Go
Chipset graphique, Intel UHD Graphics 620
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 17.3pouces
Résolution Max, 1600x900pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-128Go + HDD-1To
Disque dur, SSD-128Go
Disque secondaire, HDD-1To
Type de Disque, HDD (Hard Disk Drive)
Vitesse de rotation, 5400RPM
Interface du disque dur, Serial ATA
Nombre de disques, 2
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes," SD (Secure Digital),  SDHC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," 1xRJ45,  1xHDMI Femelle,  2xUSB-2.0,  1xJack 3,5mm Femelle Stéréo,  1xUSB-3.0"
Couleur, Gris
Profondeur, 270mm
Largeur, 411mm
Epaisseur Avant, 22.6mm
Epaisseur Arrière, 22.7mm
Poids, 2.1kg
Gamme, ASUS Vivobook
Ultrabook, Non
Hybride / Convertible, Non
Capacité de la batterie, 42Wh
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2années constructeur
Garanties légales, Voir les modalités
