,0
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Pentium
Plateforme (Proc.), Intel Gemini Lake
Type de processeur, Intel Pentium Silver N5000 (Quad-Core 1.1GHz / 2.7GHz Rafale - Cache 4Mo)
Fréquence CPU, 1.1GHz
Nombre de core, 4
Taille de la mémoire, 4Go
Nombre de barrettes, 1
Type de mémoire, DDR4
Taille de mémoire Max, 4Go
Chipset graphique, Intel UHD Graphics 605
Ecran tactile, Oui
Type de Dalle, Dalle TN
Type d'écran, LED tactile
Taille de l'écran, 14pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Non
Dalle brillante, Oui
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), eMMC-64Go
Disque dur, eMMC-64Go
Disque secondaire, Sans disque secondaire
Type de Disque, eMMC (Puce à mémoire Flash)
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, Aucun
Lecteur Optique, Aucun
Lecteur de cartes, SD (Secure Digital)
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Office fourni, Oui
Connecteur(s) disponible(s)," 1xJack 3,5mm Femelle Stéréo,  1X micro-USB-2.0,  1xUSB-3.0Type C"
Couleur, Argent
Profondeur, 226mm
Largeur, 327mm
Epaisseur, 15.4mm
Poids, 1.5kg
Gamme, ASUS Vivobook
Ultrabook, Oui
Hybride / Convertible, Non
Capacité de la batterie, 39Wh
Nombre de cellules, 2
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garanties légales, Voir les modalités
