,0
Système d'exploitation, Windows 10Professionnel 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i7
Plateforme (Proc.), Intel Whiskey Lake
Type de processeur, Intel Core i7-8565U (Quad-Core 1.8GHz / 4.6GHz Turbo - Cache 8Mo)
Fréquence CPU, 1.8GHz
Nombre de core, 4
Taille de la mémoire, 16Go
Type de mémoire, DDR3
Taille de mémoire Max, 16Go
Chipset graphique, NVIDIA GeForce MX250
Taille mémoire vidéo, 2Go
Type mémoire vidéo, GDDR5
Ecran tactile, Non
Type de Dalle, Dalle IPS
Type d'écran, LED
Taille de l'écran, 14pouces
Résolution Max, 1920x1080pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Non
Dalle brillante, Oui
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), SSD-512Go
Disque dur, SSD-512Go
Disque secondaire, Sans disque secondaire
Type de Disque, SSD (Solid State Drive)
Interface du disque dur, M.2 - PCI-E-3.0 2x
Nombre de disques, 1
Nombre de disques max, 1
Emplacement mSATA/M.2, M.2 (occupé)
Lecteur Optique, Aucun
Lecteur de cartes, micro SD
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 5.0
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Oui
Clavier RGB, Non
Pavé numérique, Non
Lecteur biométrique, Non
Accessoires Supplémentaires, Adaptateur réseau (RJ45) USB
Office fourni, Non
Connecteur(s) disponible(s)," 1xHDMI Femelle,  1xUSB-2.0,  1xJack 3,5mm Femelle Stéréo,  1xUSB-3.0"
Couleur, Bleu
Profondeur, 199mm
Largeur, 319mm
Epaisseur Avant, 17.5mm
Epaisseur Arrière, 18.2mm
Poids, 1.35kg
Gamme, ASUS Zenbook
Ultrabook, Oui
Hybride / Convertible, Non
Capacité de la batterie, 50Wh
Nombre de cellules, 3
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 2années constructeur
Garanties légales, Voir les modalités
